标题	公布日期	施行日期	时效性	制定机关	bbbs
上海市医疗保障条例	2024-12-31	2025-03-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b01954b2e425f0808
上海市推进国际航运中心建设条例	2024-12-31	2025-02-01	有效	上海市人民代表大会常务委员会	ff808181927f127601954b29a07e771f
上海市合同格式条款监督条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b01955fdf3bfb74d2
上海市检验检测条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff80818194a5cf2901955fdc5f097a50
上海市社会救助条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b01955fc0738f62e9
上海市中小学校学生伤害事故处理条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f127601955fc30c7d2b24
上海市音像制品管理条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f127601955fbcf9ff2a14
上海市人民代表大会常务委员会主任会议议事规则	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff80818194a5cf2901955f2f17835a6b
上海市建设工程材料管理条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f127601955ff6e39c43b0
上海市公路管理条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f127601955fa519ff262a
上海市制定地方性法规条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b01955f2223e93f6e
上海市漕河泾新兴技术开发区条例	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f127601955fc907042cc9
上海市未成年人保护条例	2024-12-31	2025-01-01	已修改	上海市人民代表大会常务委员会	ff80818194a5cf2901955fc5870c7116
上海市浦东新区深化“一业一证”改革规定	2024-12-31	2025-01-01	有效	上海市人民代表大会常务委员会	ff80818194a5cf2901955f3283f45bc7
上海市促进浦东新区运用区块链赋能电子单证应用若干规定	2024-12-31	2025-01-01	已修改	上海市人民代表大会常务委员会	ff808181927f0e7b01954b30286f0838
上海市浦东新区促进张江生物医药产业创新高地建设规定	2024-12-31	2025-01-01	已修改	上海市人民代表大会常务委员会	ff808181927f0e7b01955fd990b06f69
上海市人民代表大会常务委员会关于修改《上海市制定地方性法规条例》等3件地方性法规的决定	2024-12-31	2025-01-01		上海市人民代表大会常务委员会	361443fb2b6547b181ecfe0913bb9e28
上海市公共图书馆条例	2024-11-28	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f09310193f2d0494b4028
上海市促进农业科技进步若干规定	2024-11-28	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f09310193f2d2f1d14037
上海市人民代表大会常务委员会规范性文件备案审查条例	2024-11-28	2024-12-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b0193f2d77a4a4fed
上海市促进浦东新区保税维修业务发展若干规定	2024-11-28	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b0193f2cb1e184f6d
上海市推进浦东新区实施建筑师负责制若干规定	2024-11-28	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f12760193f2ce7c9251ab
上海市促进浦东新区商事调解规定	2024-11-28	2024-12-01	有效	上海市人民代表大会常务委员会	ff808181927f12760193f2c84c995171
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会规范性文件备案审查条例》的决定	2024-11-28	2024-12-01		上海市人民代表大会常务委员会	7d8b02ffdc5848fc87e92c239810b9c6
上海市绿色建筑条例	2024-09-27	2025-01-01	有效	上海市人民代表大会常务委员会	ff808181927f0e7b019318d454c439b3
上海市气象条例	2024-09-27	2024-11-01	有效	上海市人民代表大会常务委员会	ff808181927f0931019318f20e052871
上海市人民代表大会常务委员会关于加强新时代检察机关法律监督工作的决定	2024-09-27	2024-09-28	有效	上海市人民代表大会常务委员会	ff808181927f0931019319defb3d31b0
上海市促进长三角生态绿色一体化发展示范区高质量发展条例	2024-09-27	2024-09-28	有效	上海市人民代表大会常务委员会	ff808181927f0e7b019319e11cf840df
上海市妇女权益保障条例	2024-09-27	2024-09-28	有效	上海市人民代表大会常务委员会	ff808181927f12760193191026277cba
上海市实施《中华人民共和国义务教育法》办法	2024-09-27	2024-09-28	有效	上海市人民代表大会常务委员会	ff808181927f1276019319d6bfb2030d
上海市优化营商环境条例	2024-09-27	2024-11-01	已修改	上海市人民代表大会常务委员会	ff808181927f09310193192f357e2bcc
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	2024-09-27	2024-11-01		上海市人民代表大会常务委员会	b3d53f12c65747e298da31c9d6236145
上海市人民代表大会常务委员会关于修改《上海市妇女权益保障条例》等4件地方性法规的决定	2024-09-27	2024-09-28		上海市人民代表大会常务委员会	d101cbf85d97453a85f29d1cce7bd1ac
上海市殡葬管理条例	2024-08-22	2024-11-01	有效	上海市人民代表大会常务委员会	ff80818192289187019275570a8e06a7
上海市推进国际金融中心建设条例	2024-08-22	2024-10-01	有效	上海市人民代表大会常务委员会	ff808181923a4d0c01927552348b44fd
上海市中小学校外实践教育促进规定	2024-08-22	2024-09-01	有效	上海市人民代表大会常务委员会	ff80818192289516019275498c0f6d2a
上海市人民代表大会常务委员会关于修改《上海市殡葬管理条例》的决定	2024-08-22	2024-11-01		上海市人民代表大会常务委员会	50bf9d312bc448c0abd383941d488774
上海市科学技术进步条例	2024-05-10	2024-06-01	有效	上海市人民代表大会常务委员会	ff8081818fe2c6ba018ff21429323081
上海市非机动车安全管理条例	2024-05-10	2024-06-01	有效	上海市人民代表大会常务委员会	ff8081818fe2c823018ff218bdad3dd4
上海市人民代表大会常务委员会关于修改《上海市非机动车安全管理条例》的决定	2024-05-10	2024-06-01		上海市人民代表大会常务委员会	0f0b138f1c2e43e1bfe5ab5e96c7873f
上海市促进长三角生态绿色一体化发展示范区高质量发展条例	2024-03-29	2024-05-01	已修改	上海市人民代表大会常务委员会	ff8081818e750aac018ef0c1393a2187
上海市无废城市建设条例	2024-03-27	2024-06-05	有效	上海市人民代表大会常务委员会	ff8081818e750883018ef0c5833659bf
上海市推进国际贸易中心建设条例	2023-12-28	2024-02-01	有效	上海市人民代表大会常务委员会	ff8081818d6d9371018d72003c7d088a
上海市发展方式绿色转型促进条例	2023-12-28	2024-01-01	有效	上海市人民代表大会常务委员会	ff8081818d6d9371018d732a18a61211
上海市罢免和补选各级人民代表大会代表程序的规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736ac1018d784e8b281887
上海市人民代表大会常务委员会关于区和乡镇人民代表大会工作的若干规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736e08018d784e528412d5
上海市养老服务条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818def544c018dfa12238e7105
上海市促进家庭农场发展条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736ac1018d78670c271a17
上海市安置帮教工作规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d7866b5111666
上海市水资源管理若干规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736e08018d7873bc9c1580
上海市商品包装物减量若干规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736e08018d786bd28914b5
上海市新建住宅交付使用许可规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736ac1018d786d36d81ab1
上海市历史风貌区和优秀历史建筑保护条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d7874e89717b0
上海市人民代表大会常务委员会关于市人民政府制定规章设定行政处罚罚款限额的规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d784f2026152d
上海市住宅物业管理规定	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d786cda671707
上海市出租汽车管理条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d78741f571793
上海市消防条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736dae018d786659b61654
上海市建设工程质量和安全管理条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736ac1018d786c32501a93
上海市城市管理综合行政执法条例	2023-12-28	2023-12-28	有效	上海市人民代表大会常务委员会	ff8081818d736ac1018d786c84951a9f
上海市酒类商品产销管理条例	2023-12-28	2023-12-28	尚未生效	上海市人民代表大会常务委员会	ff8081818d736ac1018d784f651d1899
上海市人民代表大会常务委员会关于加强新时代检察机关法律监督工作的决定	2023-12-28	2023-12-28	已修改	上海市人民代表大会常务委员会	ff8081818d736e08018d784ee0bf12e9
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会关于区县和乡镇人民代表大会工作的若干规定》等5件地方性法规和废止《上海市预防职务犯罪工作若干规定》的决定	2023-12-28	2023-12-28		上海市人民代表大会常务委员会	be04d3c13bdc41c7bea9a5583d869544
上海市人民代表大会常务委员会关于修改《上海市养老服务条例》等12件地方性法规和废止《上海市保护和发展邮电通信规定》等6件地方性法规的决定	2023-12-28	2023-12-28		上海市人民代表大会常务委员会	79d9098a1d4d45938529b90315339fc3
上海市实施《中华人民共和国土地管理法》办法	2023-11-22	2024-01-01	有效	上海市人民代表大会常务委员会	ff8081818c24df58018ce8af0f104293
上海市体育发展条例	2023-11-22	2024-01-01	有效	上海市人民代表大会常务委员会	ff8081818c24da9e018cebe351d85720
上海市推进国际商事仲裁中心建设条例	2023-11-22	2023-12-01	有效	上海市人民代表大会常务委员会	ff8081818c24da9e018cebce82a75598
上海市优化营商环境条例	2023-11-22	2023-12-01	已修改	上海市人民代表大会常务委员会	ff8081818c24da9e018cebef1e8e57df
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	2023-11-22	2023-12-01		上海市人民代表大会常务委员会	09cc1ae2ed744e82ac0a43dfb8aca13f
上海市人民代表大会常务委员会关于促进和保障“五个新城”建设的决定	2023-10-27	2023-10-28	有效	上海市人民代表大会常务委员会	ff8081818c24da9e018c4211c911730d
上海市种子条例	2023-09-26	2023-11-01	有效	上海市人民代表大会常务委员会	ff8081818d0c93b6018d16ad09ce3c8c
上海市爱国卫生与健康促进条例	2023-09-26	2023-11-01	有效	上海市人民代表大会常务委员会	ff8081818b6b5560018b6efc5f970f1b
上海市土壤污染防治条例	2023-07-25	2023-10-01	有效	上海市人民代表大会常务委员会	ff8081818b288414018b5a833ccc28e7
上海市促进浦东新区标准化创新发展若干规定	2023-07-25	2023-10-14	有效	上海市人民代表大会常务委员会	ff8081818b287dfc018b5a901f836ed6
上海市促进浦东新区融资租赁发展若干规定	2023-07-25	2023-10-01	有效	上海市人民代表大会常务委员会	ff8081818b288414018b5a9d226629c2
上海市野生动物保护条例	2023-06-20	2023-10-01	有效	上海市人民代表大会常务委员会	ff8081818a22132f018ab585f1a85581
上海市健全浦东新区生态环境保护制度若干规定	2023-06-20	2023-08-15	有效	上海市人民代表大会常务委员会	ff8081818a22132f018ab595b896563d
上海市制定地方性法规条例	2023-04-26	2023-05-01	已修改	上海市人民代表大会常务委员会	ff80818189b5c330018a17582f296a50
上海市人民代表大会常务委员会关于修改《上海市制定地方性法规条例》的决定	2023-04-26	2023-05-01		上海市人民代表大会常务委员会	fb114d034ae54477acee48f1411f47a7
上海市就业促进条例	2023-02-25	2023-03-01	有效	上海市人民代表大会常务委员会	ff808181889567210188b7ecc606067d
上海市无障碍环境建设条例	2023-01-15	2023-03-01	有效	上海市人民代表大会	ff80818187c29620018831f1c05d2633
上海市船舶污染防治条例	2022-12-21	2023-03-01	有效	上海市人民代表大会常务委员会	ff808181869cd6290186b59984df336a
上海市浦东新区固体废物资源化再利用若干规定	2022-12-21	2023-02-01	有效	上海市人民代表大会常务委员会	ff808181869cd8610186b5a6fcf41f29
上海市学前教育与托育服务条例	2022-11-23	2023-01-01	有效	上海市人民代表大会常务委员会	ff808181868d642201869789350503eb
上海市住房租赁条例	2022-11-23	2023-02-01	已修改	上海市人民代表大会常务委员会	ff808181868d64220186978c7b8304c1
上海市妇女权益保障条例	2022-11-23	2023-01-01	已修改	上海市人民代表大会常务委员会	ff808181868d680801869790104b683e
上海市浦东新区促进无驾驶人智能网联汽车创新应用规定	2022-11-23	2023-02-01	有效	上海市人民代表大会常务委员会	ff808181868d696401869793e018106a
上海市动物防疫条例	2022-10-28	2022-12-01	有效	上海市人民代表大会常务委员会	ff808181868d680801869264036f7d25
上海市促进虹桥国际中央商务区发展条例	2022-10-28	2022-11-01	有效	上海市人民代表大会常务委员会	ff808181868d68080186926061a27cd0
上海市建筑市场管理条例	2022-10-28	2022-10-28	有效	上海市人民代表大会常务委员会	ff808181868d696401869274dcfb081a
上海市河道管理条例	2022-10-28	2022-10-28	有效	上海市人民代表大会常务委员会	ff808181868d696401869273ef1907f1
上海市公共场所控制吸烟条例	2022-10-28	2022-10-28	有效	上海市人民代表大会常务委员会	ff808181868d680801869272ed1b7e85
上海市计量监督管理条例	2022-10-28	2022-10-28	有效	上海市人民代表大会常务委员会	ff808181868d6808018692768bf90004
上海市人民代表大会关于代表议案的规定	2022-10-28	2022-10-28	已修改	上海市人民代表大会常务委员会	ff808181868d68080186928558cb02b1
上海市住宅物业管理规定	2022-10-28	2022-10-28	已修改	上海市人民代表大会常务委员会	ff808181868d696401869275dcfb083c
上海市人民代表大会关于代表建议、批评和意见的规定	2022-10-28	2022-10-28	已修改	上海市人民代表大会常务委员会	ff808181868d642201869285fbd60c24
上海市实施《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》办法	2022-10-28	2022-10-28	已修改	上海市人民代表大会	ff808181868d6808018692841134029d
上海市浦东新区优化揭榜挂帅机制促进新型研发机构发展若干规定	2022-10-28	2022-12-01	有效	上海市人民代表大会常务委员会	ff808181868d69640186926980520658
上海市人民代表大会常务委员会关于修改《上海市公共场所控制吸烟条例》等5件地方性法规和废止《上海市企业名称登记管理规定》的决定	2022-10-28	2022-10-28		上海市人民代表大会常务委员会	6d1e4f9d4bf24930ab43479c99485719
上海市人民代表大会常务委员会关于修改《上海市实施〈中华人民共和国全国人民代表大会和地方各级人民代表大会代表法〉办法》等3件地方性法规和废止《上海市授予荣誉市民称号规定》的决定	2022-10-28	2022-10-28		上海市人民代表大会常务委员会	81c50db41ed14a099a01f65f329eedcb
上海市市容环境卫生管理条例	2022-09-22	2022-12-01	有效	上海市人民代表大会常务委员会	ff808181868d6964018692527b550143
上海市机关运行保障条例	2022-09-22	2022-11-01	有效	上海市人民代表大会常务委员会	ff808181868d64220186978bf7310490
上海市服务办好中国国际进口博览会条例	2022-09-22	2022-10-01	有效	上海市人民代表大会常务委员会	ff808181868d68080186979ed34d6c9f
上海市人民代表大会常务委员会议事规则	2022-09-22	2022-09-22	有效	上海市人民代表大会常务委员会	ff808181868d68080186979786606ba8
上海市浦东新区推进住宅小区治理创新若干规定	2022-09-22	2022-11-01	有效	上海市人民代表大会常务委员会	ff808181868d68080186978ef19567f2
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会议事规则》的决定	2022-09-22	2022-09-22		上海市人民代表大会常务委员会	0de8ad9f7a09485e9da4544951a5c039
上海市乡村振兴促进条例	2022-08-27	2022-09-01	有效	上海市人民代表大会常务委员会	ff80818185c0be490185c447276a0f71
上海市浦东新区文物艺术品交易若干规定	2022-08-27	2022-10-01	有效	上海市人民代表大会常务委员会	ff80818185c0c24e0185c44b6b1c20ef
上海市环境保护条例	2022-07-21	2022-08-01	有效	上海市人民代表大会常务委员会	ff808181844230ec0184e0e08477363c
上海市消费者权益保护条例	2022-07-21	2022-08-01	有效	上海市人民代表大会常务委员会	ff808181844230ec0184e0d927f33617
上海市浦东新区化妆品产业创新发展若干规定	2022-07-21	2022-08-01	有效	上海市人民代表大会常务委员会	ff808181842c261c0184e0e672aa496d
上海市人民代表大会常务委员会关于加强经济工作监督的决定	2022-07-21	2022-08-01	有效	上海市人民代表大会常务委员会	ff808181844230ec0184e0e9ba293678
上海市人民代表大会常务委员会关于进一步做好当前促进就业工作的决定	2022-07-21	2022-07-21	有效	上海市人民代表大会常务委员会	ff808181844232f70184e0f891b50abd
上海市人民代表大会常务委员会关于修改《上海市环境保护条例》的决定	2022-07-21	2022-08-01		上海市人民代表大会常务委员会	467bd5c7205a4d0a913b2c2c1995503c
上海市公安机关警务辅助人员管理条例	2022-06-22	2022-08-01	有效	上海市人民代表大会常务委员会	ff808181842c261c0184e007d4bc477d
上海市红十字会条例	2022-06-22	2022-07-01	有效	上海市人民代表大会常务委员会	ff808181844232f70184e01a8758091c
上海市人民代表大会常务委员会任免国家机关工作人员条例	2022-06-22	2022-06-22	有效	上海市人民代表大会常务委员会	ff808181842c261c0184e04719544894
上海市浦东新区绿色金融发展若干规定	2022-06-22	2022-07-01	有效	上海市人民代表大会常务委员会	ff808181844230ec0184e025a7df34f8
上海市浦东新区推进市场准营承诺即入制改革若干规定	2022-06-22	2022-08-01	已修改	上海市人民代表大会常务委员会	ff808181844230ec0184e03dd9a8352a
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会任免国家机关工作人员条例》的决定	2022-06-22	2022-06-22		上海市人民代表大会常务委员会	cc98e44ec7db4c588796ed48837010c6
上海市工会条例	2022-05-24	2022-06-01	有效	上海市人民代表大会常务委员会	ff808181842c261c0184a8bd2b8d7a6f
上海市人民代表大会常务委员会关于进一步促进和保障城市运行“一网统管”建设的决定	2022-05-24	2022-05-24	有效	上海市人民代表大会常务委员会	ff808181844230ec0184a278cb022cf9
上海市人民代表大会常务委员会关于加强新时代检察机关法律监督工作的决定	2022-05-24	2022-06-01	已修改	上海市人民代表大会常务委员会	ff808181842c261c0184a8b5ae977a50
上海市人民代表大会常务委员会关于修改《上海市工会条例》的决定	2022-05-24	2022-06-01		上海市人民代表大会常务委员会	a5d97e91fe934ca3be26f6ea6d36e49c
上海市科学技术普及条例	2022-02-18	2022-03-01	有效	上海市人民代表大会常务委员会	ff8081818364d9030183edbc027831bc
上海市禁毒条例	2022-02-18	2022-03-01	有效	上海市人民代表大会常务委员会	ff8081818364d9030183ea86403c2e00
上海市预防未成年人犯罪条例	2022-02-18	2022-03-01	有效	上海市人民代表大会常务委员会	ff8081818364da140184079108763296
中国（上海）自由贸易试验区临港新片区条例	2022-02-18	2022-03-01	有效	上海市人民代表大会常务委员会	ff8081818364d9f60183ea8e7a7e1b7b
上海市未成年人保护条例	2022-02-18	2022-03-01	已修改	上海市人民代表大会常务委员会	ff8081818364d9030183edbea6d831de
上海市浦东新区市场主体登记确认制若干规定	2022-02-18	2022-03-15	有效	上海市人民代表大会常务委员会	ff8081818364d9f601840795c45064dd
上海市人民代表大会常务委员会关于修改《上海市禁毒条例》的决定	2022-02-18	2022-03-01		上海市人民代表大会常务委员会	0091d79459a44d4f9f6661f0cd2adf71
上海市人民代表大会议事规则	2022-01-23	2022-01-23	有效	上海市人民代表大会	ff8081818364d9030183d53125c1236e
上海市人民代表大会关于修改《上海市人民代表大会议事规则》的决定	2022-01-23	2022-01-23		上海市人民代表大会	df49067cb03d44f0a46d5114ef260039
上海市区人民代表大会常务委员会街道工作委员会工作条例	2021-12-29	2022-01-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f4fa5883415dc
上海市反间谍安全防范条例	2021-12-29	2022-01-01	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f4f99f6d00a19
上海市浦东新区促进张江生物医药产业创新高地建设规定	2021-12-29	2022-01-01	已修改	上海市人民代表大会常务委员会	ff8081817f3b9178017f4fa032e40c42
上海市黄浦江苏州河滨水公共空间条例	2021-11-25	2022-01-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f6f8c5703a5
上海市数据条例	2021-11-25	2022-01-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f4f79964d067d
上海市实施《中华人民共和国残疾人保障法》办法	2021-11-25	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f3b9178017f5425f1cb205e
上海市献血条例	2021-11-25	2021-12-01	有效	上海市人民代表大会常务委员会	ff8081817f420ac8017f541bbcdc55fc
